Category|Ability|ActivatableAbility|ArmorComponent|AssetGuid|AssetGuidThreadSafe|CanChangeVisual|CasterLevel|Charges|Comment|ComponentsArray|Cost|CR|DC|DefaultNonIdentifiedDescription|DefaultNonIdentifiedName|Description|Destructible|ElementsArray|Enchantments|EquipmentEntity|EquipmentEntityAlternatives|Errors|FlavorText|ForcedRampColorPresetIndex|ForceStackable|GainAbility|HasErrors|HideAbilityInfo|Icon|IdentifyDC|InventoryEquipSound|InventoryPutSound|InventoryTakeSound|IsJunk|IsNonRemovable|IsNotable|ItemType|m_AllElements|m_ArmorComponent|m_VisualParameters|m_WeaponComponent|m_Weight|MiscellaneousType|name|Name|NameForAcronym|NeedSkinningForCollect|NonIdentifiedDescription|NonIdentifiedName|PrototypeLink|RestoreChargesOnRest|SellPrice|ShardItem|ShowDestructibleField|SpellLevel|SpendCharges|SubtypeDescription|SubtypeName|TrashLootTypes|Type|UseShardItem|UseWhileCanComponents|VisualParameters|WeaponComponent|Weight
Shield|null|null|[BlueprintItemArmor: DLC3_GuardianHeavyShieldArmor]|2d29d6d2674a476fb54c72e8906d7e8e|2d29d6d2674a476fb54c72e8906d7e8e|True|1|1||[]|42520|0|11||Écu|Ce bouclier +3 confère l'immunité aux renversements, ainsi qu'une <b><color=#703565><link="Encyclopedia:Attack_Of_Opportunity">attaque d'opportunité</link></color></b> supplémentaire par <b><color=...|False|[]|[ShieldEnhancementBonus3;DLC3_GuardianHeavyShieldEnchantment]|null|[]|[]||0|False|False|False|False|ShieldHeavyArmy2 (UnityEngine.Sprite)|15|ShieldEquip|ShieldPut|ShieldTake|False|False|False|Shield|[]|4d76a36d73804bef8a02d8c12b3b237f|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|ff8047f887565284e93773b4a698c393|15|None|DLC3_GuardianHeavyShieldSetItem|Bouclier du gardien|DLC3_GuardianHeavyShieldSetItem|False||Écu|null|False|10630|null|True|1|True||Écu|[]|HeavyShieldType|False|[]|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|[BlueprintItemWeapon: StandardWeaponHeavyShield]|15
Shield|null|null|[BlueprintItemArmor: DLC5_SunlessShieldArmor]|ab871a2ecb5548f48635e83f149fbb35|ab871a2ecb5548f48635e83f149fbb35|True|1|1||[DlcCondition]|35000|0|11||Écu|Cet écu à pointes +2 confère une <b><color=#703565><link="Encyclopedia:Energy_Resistance">résistance</link></color></b> au feu de 10 et accumule une charge d'énergie chaque fois que son porteur sub...|False|[]|[ShieldEnhancementBonus2;DLC5_SunlessShieldEnchantment]|null|[]|[]||0|False|False|False|False|ShieldHeavyEvilReally_LT_4 (UnityEngine.Sprite)|10|ShieldEquip|ShieldPut|ShieldTake|False|False|False|Shield|[]|9de8a1e2aade478da20672e3e80dbb1f|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|7c8f6712c444cf446a4bd3b8b717cb5c|15|None|DLC5_SunlessShieldItem|Bouclier sans soleil|DLC5_SunlessShieldItem|False||Écu|null|False|8750|null|True|1|True||Écu|[]|HeavyShieldType|False|[]|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|[BlueprintItemWeapon: StandardSpikedHeavyShield]|15
Shield|null|null|[BlueprintItemArmor: AsziteBucklerArmorItemPlus3]|48c1a9cbd64944ee9474f6581ba01eb0|48c1a9cbd64944ee9474f6581ba01eb0|True|1|1||[]|9905|10|11||Targe||True|[]|[ShieldEnhancementBonus3]|null|[]|[]||0|False|False|False|False|BucklerOrnate (UnityEngine.Sprite)|15|ShieldEquip|ShieldPut|ShieldTake|False|False|False|Shield|[]|90f738b791dc43a8a4b0c31277aa30e2|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters||0|None|AsziteBucklerItemPlus3|Targe +3|AsziteBucklerItemPlus3|False||Targe|null|False|2476|[BlueprintItem: MetalShardItem]|True|1|True||Targe|[Equipment_Trickster]|BucklerType|True|[]|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|null|5
Shield|null|null|[BlueprintItemArmor: AsziteHeavyShieldArmorItemPlus3]|6e935fd4475241a38c6ee5bc1a86520f|6e935fd4475241a38c6ee5bc1a86520f|True|1|1||[]|9920|10|11||Écu||True|[]|[ShieldEnhancementBonus3]|null|[]|[]||0|False|False|False|False|ShieldHeavyArmy1 (UnityEngine.Sprite)|15|ShieldEquip|ShieldPut|ShieldTake|False|False|False|Shield|[]|199199a5cdde46aba3a051973aea3fe6|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|ff8047f887565284e93773b4a698c393|0|None|AsziteHeavyShieldItemPlus3|Écu +3|AsziteHeavyShieldItemPlus3|False||Écu|null|False|2480|[BlueprintItem: MetalShardItem]|True|1|True||Écu|[Equipment_Trickster]|HeavyShieldType|True|[]|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|[BlueprintItemWeapon: StandardWeaponHeavyShield]|15
Shield|null|null|[BlueprintItemArmor: AsziteLightShieldArmorItemPlus3]|397412c3132d40429f7a5cb15b7e60d7|397412c3132d40429f7a5cb15b7e60d7|True|1|1||[]|9910|10|11||Rondache||True|[]|[ShieldEnhancementBonus3]|null|[]|[]||0|False|False|False|False|ShieldLightKnight (UnityEngine.Sprite)|15|ShieldEquip|ShieldPut|ShieldTake|False|False|False|Shield|[]|6aeefc00c7f544059332fd29b8ec7fc3|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|62c90581f9892e9468f0d8229c7321c4|0|None|AsziteLightShieldItemPlus3|Rondache +3|AsziteLightShieldItemPlus3|False||Rondache|null|False|2477|[BlueprintItem: MetalShardItem]|True|1|True||Rondache|[Equipment_Trickster]|LightShieldType|True|[]|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|[BlueprintItemWeapon: StandardWeaponLightShield]|6
Shield|null|null|[BlueprintItemArmor: AsziteTowerShieldArmorItemPlus3]|fbde60368d444717b6f67bb0844b2985|fbde60368d444717b6f67bb0844b2985|True|1|1||[]|9930|4|11||Pavois||True|[]|[TowerShieldAttackPenalty;ShieldEnhancementBonus3;AsziteArmorEnchantment]|null|[]|[]||0|False|False|False|False|ShieldTowerArmy (UnityEngine.Sprite)|15|ShieldEquip|ShieldPut|ShieldTake|False|False|False|Shield|[]|e4f970bb2c104f55b49d81f9d46720e2|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters||4|None|AsziteTowerShieldItemPlus3|Pavois +3|AsziteTowerShieldItemPlus3|False||Pavois|null|False|2482|[BlueprintItem: MetalShardItem]|True|1|True||Pavois|[Equipment_RE;Equipment_Trickster]|TowerShieldType|True|[]|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|null|45
Shield|null|null|[BlueprintItemArmor: AsziteBucklerArmorItemPlus4]|85a55ba689e148edb9cbafa89f1e89f8|85a55ba689e148edb9cbafa89f1e89f8|True|1|1||[]|16905|10|11||Targe||True|[]|[ShieldEnhancementBonus4]|null|[]|[]||0|False|False|False|False|BucklerOrnate (UnityEngine.Sprite)|20|ShieldEquip|ShieldPut|ShieldTake|False|False|False|Shield|[]|b128d133835f428f9de2a4d3cbe42552|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters||0|None|AsziteBucklerItemPlus4|Targe +4|AsziteBucklerItemPlus4|False||Targe|null|False|4226|[BlueprintItem: MetalShardItem]|True|1|True||Targe|[Equipment_Trickster]|BucklerType|True|[]|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|null|5
Shield|null|null|[BlueprintItemArmor: AsziteHeavyShieldArmorItemPlus4]|6bafbb55c421439fbff2ae0e4aa69d08|6bafbb55c421439fbff2ae0e4aa69d08|True|1|1||[]|16920|10|11||Écu||True|[]|[ShieldEnhancementBonus4;AsziteArmorEnchantment]|null|[]|[]||0|False|False|False|False|ShieldHeavyArmy1 (UnityEngine.Sprite)|20|ShieldEquip|ShieldPut|ShieldTake|False|False|False|Shield|[]|aa9f0f53159a453f9210c433e684679d|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|ff8047f887565284e93773b4a698c393|0|None|AsziteHeavyShieldItemPlus4|Écu +4|AsziteHeavyShieldItemPlus4|False||Écu|null|False|4230|[BlueprintItem: MetalShardItem]|True|1|True||Écu|[Equipment_Trickster]|HeavyShieldType|True|[]|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|[BlueprintItemWeapon: StandardWeaponHeavyShield]|15
Shield|null|null|[BlueprintItemArmor: AsziteLightShieldArmorItemPlus4]|d1266897c40f4843a23fc85c42528f06|d1266897c40f4843a23fc85c42528f06|True|1|1||[]|16910|10|11||Rondache||True|[]|[ShieldEnhancementBonus4;AsziteArmorEnchantment]|null|[]|[]||0|False|False|False|False|ShieldLightKnight (UnityEngine.Sprite)|20|ShieldEquip|ShieldPut|ShieldTake|False|False|False|Shield|[]|0d119a02325e4576b33b7fc0e92d1e63|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|62c90581f9892e9468f0d8229c7321c4|0|None|AsziteLightShieldItemPlus4|Rondache +4|AsziteLightShieldItemPlus4|False||Rondache|null|False|4227|[BlueprintItem: MetalShardItem]|True|1|True||Rondache|[Equipment_Trickster]|LightShieldType|True|[]|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|[BlueprintItemWeapon: StandardWeaponLightShield]|6
Shield|null|null|[BlueprintItemArmor: AsziteTowerShieldArmorItemPlus4]|a290a20212e4463d9102b58c9a1487bf|a290a20212e4463d9102b58c9a1487bf|True|1|1||[]|16930|4|11||Pavois||True|[]|[TowerShieldAttackPenalty;ShieldEnhancementBonus4;AsziteArmorEnchantment]|null|[]|[]||0|False|False|False|False|ShieldTowerArmy (UnityEngine.Sprite)|20|ShieldEquip|ShieldPut|ShieldTake|False|False|False|Shield|[]|e0612af532e5460584fdebd3e39f3989|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters||4|None|AsziteTowerShieldItemPlus4|Pavois +4|AsziteTowerShieldItemPlus4|False||Pavois|null|False|4232|[BlueprintItem: MetalShardItem]|True|1|True||Pavois|[Equipment_RE;Equipment_Trickster]|TowerShieldType|True|[]|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|null|45
