--- SCROLL CRAFTING - AVAILABLE SPELLS DUMP (04/05/2026 15:41:43) ---
Total: 664
GUID | LVL | MOD | SCHOOL | NAME | CLASSES
------------------------------------------------------------
0c852a2405dd9f14a8bbcfaf245ff823 |  0  |       | Conjuration | Aspersion acide                | Arcaniste, Inquisiteur, Special/Other...
c3a8f31778c3980498d8f00c980be5f5 |  0  | [MOD] | Divination | Assistance divine              | Arcaniste, Prêtre, Special/Other...
877297946a6b70744a188eb15dd2daab |  0  | [MOD] | Enchantment | Berceuse                       | MagicDeceiverSpellbook, Special/Other, Barde...
16e23c7a8ae53cc42a93066d19766404 |  0  |       | Transmutation | Choc                           | Arcaniste, Ensorceleur, Special/Other...
8a1992f59e06dd64ab9ba52337bf8cb5 |  0  | [MOD] | Divination | Choc divin                     | Arcaniste, Prêtre, Special/Other...
652739779aa05504a9ad5db1db6d02ae |  0  | [MOD] | Necromancy | Destruction de mort-vivant     | Arcaniste, Inquisiteur, Special/Other...
97a23111df7547fd8f6417f9ba9b9775 |  0  | [MOD] | Universalist | Dissipation de sort            | Arcaniste, MagicDeceiverSpellbook, Special/Other...
564c2ac83c7844beb1921e69ab159ac6 |  0  | [MOD] | Conjuration | Étincelle de feu               | Arcaniste, Inquisiteur, Special/Other...
5bf3315ce1ed4d94e8805706820ef64d |  0  | [MOD] | Necromancy | Fatigue                        | Arcaniste, Magus, Special/Other...
55f14bc84d7c85446b07a1b5dd6b2b4c |  0  | [MOD] | Enchantment | Hébétement                     | Arcaniste, MagicDeceiverSpellbook, Special/Other...
f0f8e5b9808f44e4eadd22b138131d52 |  0  | [MOD] | Evocation  | Illumination                   | Arcaniste, MagicDeceiverSpellbook, Special/Other...
95f206566c5261c42aa5b3e7e0d1e36c |  0  | [MOD] | Evocation  | Lumière                        | Arcaniste, MagicDeceiverSpellbook, Special/Other...
9af2ab69df6538f4793b2f9c3cc85603 |  0  | [MOD] | Evocation  | Rayon de givre                 | Arcaniste, Magus, Special/Other...
7bc8e27cba24f0e43ae64ed201ad5785 |  0  | [MOD] | Abjuration | Résistance                     | Arcaniste, MagicDeceiverSpellbook, Special/Other...
0557ccee0a86dc44cb3d3f6a3b235329 |  0  |       | Conjuration | Stabilisation                  | Arcaniste, Prêtre, Special/Other...
d3a852385ba4cd740992d1970170301a |  0  | [MOD] | Transmutation | Stimulant                      | Arcaniste, Prêtre, Special/Other...
c60969e7f264e6d4b84a1499fdcf9039 |  1  | [MOD] | Transmutation | Agrandissement                 | Alchimiste, Special/Other, Arcaniste...
9efb34c2990349c58e1f3b599c7c4d6b |  1  | [MOD] | Divination | Analyse de la résistance à l'énergie | MagicDeceiverSpellbook, Special/Other
fbdd8c455ac4cde4a9a3e18c84af9485 |  1  | [MOD] | Necromancy | Anathème                       | Prêtre, Special/Other, Inquisiteur...
3e9d1119d43d07c4c8ba9ebfd1671952 |  1  | [MOD] | Transmutation | Arc tempétueux                 | Arcaniste, Chasseur, Special/Other...
d7fdd79f0f6b6a2418298e936bb68e40 |  1  | [MOD] | Transmutation | Arme magique                   | Arcaniste, Sanguin, Special/Other...
9e1ad5d6f87d19e4d8883d63a6e35568 |  1  | [MOD] | Conjuration | Armure de mage                 | Arcaniste, Sanguin, Special/Other...
7bdb6a9fb6b37614e96f155748ae50c6 |  1  | [MOD] | Transmutation | Aspect du faucon               | Arcaniste, Druide, Special/Other...
a5ec7892fb1c2f74598b3a82f3fd679f |  1  | [MOD] | Abjuration | Barrière étourdissante         | Arcaniste, Prêtre, Special/Other...
90e59f4a4ada87243b7b3535a06d0638 |  1  | [MOD] | Enchantment | Bénédiction                    | Prêtre, Special/Other, Inquisiteur...
de954d4cbf995864ba8662e67a473f93 |  1  | [MOD] | Transmutation | Bénédiction d'arme             | Special/Other, Paladin
e5af3674bb241f14b9a9f6b0c7dc3d27 |  1  | [MOD] | Necromancy | Blessure légère                | Arcaniste, Prêtre, Special/Other...
ef768022b0785eb43a18969903c537c4 |  1  | [MOD] | Abjuration | Bouclier                       | Alchimiste, Special/Other, Arcaniste...
183d5bb91dea3a1489a6db6c9cb64445 |  1  |       | Abjuration | Bouclier de la foi             | Prêtre, Special/Other, Inquisiteur...
2d81362af43aeac4387a3d4fced489c3 |  1  |       | Evocation  | Boule de feu                   | Arcaniste, MagicDeceiverSpellbook, Special/Other...
9f10909f0be1f5141bf1c102041f93d9 |  1  | [MOD] | Conjuration | Boule de neige                 | Arcaniste, MagicDeceiverSpellbook, Special/Other...
fde4d2da304345bca11a73eb8f06b755 |  1  | [MOD] | Transmutation | Bras longs                     | Alchimiste, Special/Other, Arcaniste...
40ec382849b60504d88946df46a10f2d |  1  | [MOD] | Enchantment | Brume onirique                 | Arcaniste, Barde, Special/Other...
dd38f33c56ad00a4da386c1afaa49967 |  1  | [MOD] | Enchantment | Cœur indestructible            | Arcaniste, Barde, Special/Other...
cf6c901fb7acc904e85c63b342e9c949 |  1  | [MOD] | Enchantment | Confusion                      | Arcaniste, MagicDeceiverSpellbook, Special/Other...
95810d2829895724f950c8c4086056e7 |  1  | [MOD] | Conjuration | Contact corrosif               | Arcaniste, MagicDeceiverSpellbook, Special/Other...
c6147854641924442a3bb736080cfeb6 |  1  | [MOD] | Conjuration | Convocation d'alliés naturels I | Arcaniste, Druide, Special/Other...
8fd74eddd9b6c224693d9ab241f25e84 |  1  | [MOD] | Conjuration | Convocation de monstres I      | Arcaniste, Barde, Special/Other...
91da41b9793a4624797921f221db653c |  1  | [MOD] | Illusion   | Couleurs dansantes             | Arcaniste, MagicDeceiverSpellbook, Special/Other...
2c38da66e5a599347ac95b3294acbe00 |  1  |       | Divination | Coup au but                    | Alchimiste, Special/Other, Arcaniste...
8e7cfa5f213a90549aadd18f8f6f4664 |  1  | [MOD] | Evocation  | Cri perçant                    | Arcaniste, Barde, Special/Other...
ab395d2335d3f384e99dddee8562978f |  1  | [MOD] | Evocation  | Décharge électrique            | Arcaniste, MagicDeceiverSpellbook, Special/Other...
57aae1aa36b8022479e1cd39f3a85ef9 |  1  | [MOD] | Enchantment | Défier le mal                  | Paladin, Special/Other, Azata
f3c0b267dd17a2a45a40805e31fe3cd1 |  1  | [MOD] | Transmutation | Démarche aérienne              | Arcaniste, Barde, Special/Other...
f001c73999fb5a543a199f890108d936 |  1  | [MOD] | Illusion   | Disparition                    | Arcaniste, Barde, Special/Other...
f6f95242abdfac346befd6f4f6222140 |  1  | [MOD] | Conjuration | Dissipation de la fièvre       | Arcaniste, Prêtre, Special/Other...
6e2054e6adc64bbaa2be46be1f41e3f6 |  1  | [MOD] | None       | Doubles d'ombre                | Special/Other
7db77ae03a76426f970f2488149fa267 |  1  | [MOD] | Conjuration | Éclair de toile                | Arcaniste, Sanguin, Special/Other...
0fd00984a2c0e0a429cf1a911b4ec5ca |  1  |       | Transmutation | Enchevêtrement                 | Arcaniste, Special/Other, Druide...
9d5d2d3ffdd73c648af3eb3e585b1113 |  1  | [MOD] | Evocation  | Faveur divine                  | Prêtre, Special/Other, Inquisiteur...
fd4d9fd7f87575d47aafe2a64a6e2d8d |  1  | [MOD] | Enchantment | Fou rire                       | Arcaniste, MagicDeceiverSpellbook, Special/Other...
bd81a3931aa285a4f9844585b5d97e51 |  1  | [MOD] | Necromancy | Frayeur                        | Arcaniste, Barde, Special/Other...
464a7193519429f48b4d190acb753cf0 |  1  | [MOD] | Abjuration | Grâce                          | Prêtre, Special/Other, Oracle...
95851f6e85fe87d4190675db0419d112 |  1  | [MOD] | Conjuration | Graisse                        | Arcaniste, Barde, Special/Other...
14c90900b690cac429b229efdf416127 |  1  |       | Transmutation | Grand pas                      | Arcaniste, Special/Other, Druide...
39a602aa80cc96f4597778b6d4d49c0a |  1  | [MOD] | Evocation  | Grandes illuminations          | Arcaniste, Barde, Special/Other...
75de4ded3e731dc4f84d978fe947dc67 |  1  | [MOD] | Transmutation | Gueule acide                   | Arcaniste, Druide, Special/Other...
88367310478c10b47903463c5d0152b0 |  1  | [MOD] | Enchantment | Hypnose                        | Arcaniste, Barde, Special/Other...
8bc64d869456b004b9db255cdd1ea734 |  1  | [MOD] | Enchantment | Imprécation                    | Prêtre, Special/Other, Inquisiteur...
feb70aab86cc17f4bb64432c83737ac2 |  1  | [MOD] | Enchantment | Injonction                     | Arcaniste, Prêtre, Special/Other...
c219641a29670d44db0b30470565dede |  1  | [MOD] | Conjuration | Invocation du monstre 0        | Special/Other
779179912e6c6fe458fa4cfb90d96e10 |  1  | [MOD] | Transmutation | Lames de plomb                 | Special/Other, Chasseur, Rôdeur
4d9bf81b7939b304185d58a09960f589 |  1  | [MOD] | Evocation  | Lueur féerique                 | Arcaniste, Special/Other, Druide...
4783c3709a74a794dbe7c8e7e0b1b038 |  1  | [MOD] | Evocation  | Mains brûlantes                | Arcaniste, MagicDeceiverSpellbook, Special/Other...
ad10bfec6d7ae8b47870e3a545cc8900 |  1  | [MOD] | Transmutation | Maladresse                     | Arcaniste, Barde, Special/Other...
24afb2c948c731440a3aaf5411904c89 |  1  |       | Transmutation | Mixture pour bombe ciblée      | Alchimiste, Special/Other
403cf599412299a4f9d5d925c7b9fb33 |  1  | [MOD] | Transmutation | Morsure magique                | Arcaniste, Special/Other, Druide...
9d504f8dff6e93b4ab6afc938ed6a23d |  1  | [MOD] | Transmutation | Œil du mitrailleur             | Alchimiste, Special/Other
b065231094a21d14dbf1c3832f776871 |  1  | [MOD] | Abjuration | Panse ardente                  | Alchimiste, Special/Other, Arcaniste...
85067a04a97416949b5d1dbf986d93f3 |  1  | [MOD] | Transmutation | Poing de pierre                | Alchimiste, Special/Other, Arcaniste...
4ac47ddb9fa1eaf43a1b6809980cfbd2 |  1  | [MOD] | Evocation  | Projectile magique             | Arcaniste, Sanguin, Special/Other...
c3aafbbb6e8fc754fb8c82ede3280051 |  1  | [MOD] | Abjuration | Protection contre la Loi       | Special/Other
433b1faf4d02cc34abb0ade5ceda47c4 |  1  | [MOD] | Abjuration | Protection contre l'alignement | Arcaniste, Sanguin, Special/Other...
1eaf1020e82028d4db55e6e464269e00 |  1  |       | Abjuration | Protection contre le Chaos     | Special/Other
c28f7234f5fb8c943a77621ad96ad8f9 |  1  | [MOD] | Abjuration | Protection contre le Chaos/Mal | Paladin, Special/Other
eee384c813b6d74498d1b9cc720d61f4 |  1  | [MOD] | Abjuration | Protection contre le Mal       | Special/Other
b48b4c5ffb4eab0469feba27fc86a023 |  1  | [MOD] | Conjuration | Ralentissement du poison       | Alchimiste, Special/Other, Arcaniste...
4e0e9aba6447d514f88eff1464cc4763 |  1  | [MOD] | Transmutation | Rapetissement                  | Alchimiste, Special/Other, Arcaniste...
450af0402422b0b4980d9c2175869612 |  1  | [MOD] | Necromancy | Rayon affaiblissant            | Arcaniste, Sanguin, Special/Other...
78e0d5e8ad0e3eb4c8d65e0d34b945b4 |  1  | [MOD] | Necromancy | Rayon affaiblissant            | Special/Other
fa3078b9976a5b24caf92e20ee9c0f54 |  1  | [MOD] | Necromancy | Rayon de fièvre                | Arcaniste, MagicDeceiverSpellbook, Special/Other...
55a037e514c0ee14a8e3ed14b47061de |  1  | [MOD] | Abjuration | Regain d'assurance             | Barde, Special/Other, Prêtre...
4f8181e7a7f1d904fbaea64220e83379 |  1  | [MOD] | Transmutation | Repli expéditif                | Alchimiste, Special/Other, Arcaniste...
21ffef7791ce73f468b6fca4d9371e8b |  1  |       | Abjuration | Résistance aux énergies destructives | Alchimiste, Special/Other, Arcaniste...
e84fc922ccf952943b5240293669b171 |  1  | [MOD] | Conjuration | Restauration partielle         | Alchimiste, Special/Other, Arcaniste...
1626dbd11c4143b2a5641da8f227b78c |  1  |       | Abjuration | Runes incendiaires             | Arcaniste, MagicDeceiverSpellbook, Special/Other...
5590652e1c2225c4ca30c4a699ab3649 |  1  | [MOD] | Conjuration | Soins légers                   | Alchimiste, Special/Other, Arcaniste...
bb7ecad2d3d2c8247a38f44855c99061 |  1  | [MOD] | Enchantment | Sommeil                        | Arcaniste, MagicDeceiverSpellbook, Special/Other...
72d9f5adda6387a40a63c49d7781bbbf |  1  | [MOD] | Abjuration | Voile céleste                  | Paladin, Special/Other
6bb0533cd457d1f4eaccc73ab7680fb2 |  1  | [MOD] | Abjuration | Voile d'énergie positive       | Paladin, Special/Other
431f783e1a020cd46ab37b8666a92bd3 |  2  | [MOD] | Abjuration | Accorder la grâce              | Paladin, Special/Other
03a9630394d10164a9410882d31572f0 |  2  |       | Enchantment | Aide                           | Alchimiste, Special/Other, Prêtre...
768b18138fb44b70b686c23119e66e02 |  2  | [MOD] | Divination | Analyse des réflexes           | MagicDeceiverSpellbook, Special/Other
e6048d85fc3294f4c92b21c8d7526b1f |  2  | [MOD] | Enchantment | Appel cacophonique             | Barde, Special/Other, Scalde...
5181c2ed0190fc34b8a1162783af5bf4 |  2  | [MOD] | Conjuration | Appel des pierres              | Arcaniste, Sanguin, Special/Other...
eaac3d36e0336cb479209a6f65e25e7c |  2  | [MOD] | Evocation  | Arc brûlant                    | Arcaniste, Roublard, Ensorceleur...
d026d5c80dbb9224f9a97fec83f5644a |  2  | [MOD] | Transmutation | Arme alignée                   | Prêtre, Special/Other, Inquisiteur...
e1291272c8f48c14ab212a599ad17aac |  2  | [MOD] | Transmutation | Armure sans effort             | Prêtre, Special/Other, Chasseur...
