Internal_Category|Ability|ActivatableAbility|AlwaysPrimary|AssetGuid|AssetGuidThreadSafe|AttackBonusStat|AttackRange|AttackType|BaseDamage|CanChangeVisual|CasterLevel|Category|Charges|Comment|ComponentsArray|Cost|CountAsDouble|CR|CriticalModifier|CriticalRollEdge|Damage|DamageType|DC|DefaultNonIdentifiedDescription|DefaultNonIdentifiedName|Description|Destructible|Double|ElementsArray|Enchantments|EquipmentEntity|EquipmentEntityAlternatives|Errors|FighterGroup|FlavorText|ForcedRampColorPresetIndex|ForceStackable|GainAbility|HasErrors|HasNoDamage|HideAbilityInfo|Icon|IdentifyDC|InventoryEquipSound|InventoryPutSound|InventoryTakeSound|IsDamageDiceOverridden|IsJunk|IsLight|IsMagic|IsMasterwork|IsMelee|IsMonk|IsNatural|IsNonRemovable|IsNotable|IsOnlyMasterwork|IsRanged|IsTwoHanded|IsUnarmed|ItemType|KeepInPolymorph|m_AllElements|m_AlwaysPrimary|m_CanChangeVisual|m_DamageDice|m_DamageType|m_Enchantments|m_IsCanChangeVisualOverriden|m_OverrideDamageDice|m_OverrideDamageType|m_OverrideDestructible|m_OverrideShardItem|m_SecondWeapon|m_Size|m_Type|m_VisualParameters|m_Weight|MiscellaneousType|name|Name|NameForAcronym|NeedSkinningForCollect|NonIdentifiedDescription|NonIdentifiedName|PrototypeLink|RestoreChargesOnRest|SecondWeapon|SellPrice|ShardItem|ShowDestructibleField|Size|SpellLevel|SpendCharges|SubtypeDescription|SubtypeName|TrashLootTypes|Type|UseShardItem|UseWhileCanComponents|VisualParameters|Weight
Weapon|null|null|False|71592b6baded4617b86c936bbe7ce534|71592b6baded4617b86c936bbe7ce534|Strength|2 pieds.|Melee|1d3|True|1|UnarmedStrike|1|Fake item for empty hand's attack|[]|10|False|0|X2|20|1d3|Bludgeoning damage|11||Attaque à mains nues||True|False|[]|[]|null|[]|[]|Monk, Natural, Close||0|False|False|False|False|False|ImpromptuSneakAttack (UnityEngine.Sprite)|0||||False|False|True|False|False|True|True|True|False|False|False|False|False|True|Weapon|False|[]|False|False|0|Slashing damage|[]|False|False|False|False|False||Medium|a8b38f6b734daa44087ec0ec2e80c1cd|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|0|None|MillornEmptyHand|Attaque à mains nues|MillornEmptyHand|False||Attaque à mains nues|null|False|null|2|[BlueprintItem: MetalShardItem]|False|Medium|1|True||Attaque à mains nues|[]|EmptyHand|False|[]|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|0
Weapon|null|null|False|20375b5a0c9243d45966bd72c690ab74|20375b5a0c9243d45966bd72c690ab74|Strength|2 pieds.|Melee|1d3|True|1|UnarmedStrike|1|Fake item for empty hand's attack|[]|10|False|0|X2|20|1d3|Bludgeoning damage|11||Attaque à mains nues||True|False|[]|[]|null|[]|[]|Monk, Natural, Close||0|False|False|False|False|False|ImpromptuSneakAttack (UnityEngine.Sprite)|0||||False|False|True|False|False|True|True|True|False|False|False|False|False|True|Weapon|False|[]|False|False|0|Slashing damage|[]|False|False|False|False|False||Medium|a8b38f6b734daa44087ec0ec2e80c1cd|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|0|None|WeaponEmptyHand|Attaque à mains nues|WeaponEmptyHand|False||Attaque à mains nues|null|False|null|2|[BlueprintItem: MetalShardItem]|False|Medium|1|True||Attaque à mains nues|[]|EmptyHand|False|[]|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|0
Weapon|null|null|False|2cd3184bcdd6c054ab9a8068fedfc3f9|2cd3184bcdd6c054ab9a8068fedfc3f9|Strength|2 pieds.|Melee|2d12|True|1|Greataxe|1||[]|4|False|0|X3|20|2d12|Slashing damage|11||Grande hache||True|False|[]|[Masterwork]|null|[]|[]|Axes||0|False|False|False|False|False|GreataxeArmyNormal (UnityEngine.Sprite)|0|SwordEquip|SpearPut|SpearTake|True|False|False|False|True|True|False|False|False|False|True|False|True|False|Weapon|False|[]|False|False|2d12|Slashing damage|[6b38844e2bffbac48b63036b66e735be]|False|True|False|False|False||Medium|e8059a8eac62cd74f9171d748a5ae428|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|0|None|ArmyBarbarianWeapon|De maître Grande hache|ArmyBarbarianWeapon|False||Grande hache|null|False|null|1|[BlueprintItem: MetalShardItem]|False|Medium|1|True||Grande hache|[Equipment]|Greataxe|False|[]|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|12
Weapon|null|null|False|1ad48c29cddc94b43a2850cf1c2573fd|1ad48c29cddc94b43a2850cf1c2573fd|Strength|6 pieds.|Melee|2d8|True|1|Longspear|1||[]|4|False|0|X3|20|2d8|Piercing damage|11||Lance longue||True|False|[]|[]|null|[]|[]|Spears||0|False|False|False|False|False|LongspearKnight1 (UnityEngine.Sprite)|0|SwordEquip|SpearPut|SpearTake|True|False|False|False|False|True|False|False|False|False|False|False|True|False|Weapon|False|[]|False|False|2d8|Slashing damage|[]|False|True|False|False|False||Medium|fa2dd17cbde7d3f4aa918d467c30516e|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|0|None|ArmyKnightWeapon|Lance longue|ArmyKnightWeapon|False||Lance longue|null|False|null|1|[BlueprintItem: MetalShardItem]|False|Medium|1|True||Lance longue|[Equipment]|Longspear|False|[]|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|9
Weapon|null|null|False|abc511ad7d10fa046ad316cdfbf039ae|abc511ad7d10fa046ad316cdfbf039ae|Strength|2 pieds.|Melee|2d10|True|1|DwarvenWaraxe|1||[]|4|False|0|X3|20|2d10|Slashing damage|11||Hache de guerre naine||True|False|[]|[Masterwork]|null|[]|[]|Axes||0|False|False|False|False|False|WaraxeArmyDwarvenNormal_LT_4 (UnityEngine.Sprite)|0|SwordEquip|AxePut|AxeTake|True|False|False|False|True|True|False|False|False|False|True|False|False|False|Weapon|False|[]|False|False|2d10|Slashing damage|[6b38844e2bffbac48b63036b66e735be]|False|True|False|False|False||Medium|a6925f5f897801449a648d865637e5a0|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|0|None|ArmyPaidBladeWeapon|De maître Hache de guerre naine|ArmyPaidBladeWeapon|False||Hache de guerre naine|null|False|null|1|[BlueprintItem: MetalShardItem]|False|Medium|1|True||Hache de guerre naine|[Equipment]|DwarvenWaraxe|False|[]|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|8
Weapon|null|null|False|f20cf7d1882fb2640983d44c100c594e|f20cf7d1882fb2640983d44c100c594e|Strength|2 pieds.|Melee|2d8|True|1|Longsword|1||[]|4|False|0|X2|19|2d8|Slashing damage|11||Épée longue||True|False|[]|[]|null|[]|[]|BladesHeavy||0|False|False|False|False|False|LongswordKnightMasterwork_LB_3 (UnityEngine.Sprite)|0|SwordEquip|SwordPut|SwordTake|True|False|False|False|False|True|False|False|False|False|False|False|False|False|Weapon|False|[]|False|False|2d8|Slashing damage|[]|False|True|False|False|False||Medium|d56c44bc9eb10204c8b386a02c7eed21|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|0|None|ArmyPaladinWeapon|Épée longue|ArmyPaladinWeapon|False||Épée longue|null|False|null|1|[BlueprintItem: MetalShardItem]|False|Medium|1|True||Épée longue|[Equipment]|Longsword|False|[]|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|4
Weapon|null|null|False|bd274b80d6dc1d14aa844a8bc4aa1397|bd274b80d6dc1d14aa844a8bc4aa1397|Strength|2 pieds.|Melee|2d8|True|1|Battleaxe|1||[]|4|False|0|X3|20|2d8|Slashing damage|11||Hache d'armes||True|False|[]|[]|null|[]|[]|Axes||0|False|False|False|False|False|BattleaxeArmyNormal_RT_3 (UnityEngine.Sprite)|0|SwordEquip|AxePut|AxeTake|True|False|False|False|False|True|False|False|False|False|False|False|False|False|Weapon|False|[]|False|False|2d8|Slashing damage|[]|False|True|False|False|False||Medium|2bc77aa47f97de348aefcf03ec8fa43b|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|0|None|ArmyRaiderWeapon|Hache d'armes|ArmyRaiderWeapon|False||Hache d'armes|null|False|null|1|[BlueprintItem: MetalShardItem]|False|Medium|1|True||Hache d'armes|[Equipment]|Battleaxe|False|[]|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|6
Weapon|null|null|False|f527283f0cb04ffb9aba644a18478c5c|f527283f0cb04ffb9aba644a18478c5c|Strength|2 pieds.|Melee|1d10|True|1|Bite|1||[]|0|False|0|X2|20|1d10|Bludgeoning, Piercing, Slashing damage|11||Morsure||True|False|[]|[Bleed]|null|[]|[]|Natural||0|False|False|False|False|False|AcidMaw (UnityEngine.Sprite)|5|CommonPut|CommonPut|CommonTake|True|False|False|False|False|True|False|True|False|False|False|False|False|False|Weapon|False|[]|False|False|1d10|Bludgeoning, Piercing, Slashing damage|[ac0108944bfaa7e48aa74f407e3944e3]|False|True|True|False|False||Medium|952e30e6cb40b454789a9db6e5f6dd09|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|0|None|Bite1d10ColdIronBleed|Saignement Morsure|Bite1d10ColdIronBleed|False||Morsure|null|False|null|0|[BlueprintItem: MetalShardItem]|False|Medium|1|True||Morsure|[]|BiteType|False|[]|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|0
Weapon|null|null|False|69a5b882c36c4e3ca638ae2023acc60f|69a5b882c36c4e3ca638ae2023acc60f|Strength|2 pieds.|Melee|1d6|True|1|Bite|1||[]|0|False|0|X2|20|1d6|Bludgeoning, Piercing, Slashing damage|11||Morsure||True|False|[]|[]|null|[]|[]|Natural||0|False|False|False|False|False|AcidMaw (UnityEngine.Sprite)|0|CommonPut|CommonPut|CommonTake|True|False|False|False|False|True|False|True|False|False|False|False|False|False|Weapon|False|[]|False|False|1d6|Bludgeoning, Piercing, Slashing damage|[]|False|True|True|False|False||Medium|952e30e6cb40b454789a9db6e5f6dd09|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|0|None|Bite1d6ColdIron|Morsure|Bite1d6ColdIron|False||Morsure|null|False|null|0|[BlueprintItem: MetalShardItem]|False|Medium|1|True||Morsure|[]|BiteType|False|[]|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|0
Weapon|null|null|False|dd43b44ac7a64dc1bcceb018c6630e4c|dd43b44ac7a64dc1bcceb018c6630e4c|Strength|2 pieds.|Melee|1d8|True|1|Bite|1||[]|0|False|0|X2|20|1d8|Bludgeoning, Piercing, Slashing damage|11||Morsure||True|False|[]|[Bleed]|null|[]|[]|Natural||0|False|False|False|False|False|AcidMaw (UnityEngine.Sprite)|5|CommonPut|CommonPut|CommonTake|True|False|False|False|False|True|False|True|False|False|False|False|False|False|Weapon|False|[]|False|False|1d8|Bludgeoning, Piercing, Slashing damage|[ac0108944bfaa7e48aa74f407e3944e3]|False|True|True|False|False||Medium|952e30e6cb40b454789a9db6e5f6dd09|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|0|None|Bite1d8ColdIronBleed|Saignement Morsure|Bite1d8ColdIronBleed|False||Morsure|null|False|null|0|[BlueprintItem: MetalShardItem]|False|Medium|1|True||Morsure|[]|BiteType|False|[]|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|0
