0bc09adac665a7647b39ca76b897ddd5 | 2DCagainstNecroticPlus2Enchant | Armor | Cost: 0 | Pure: False
7cf65734cac608743a09730ead2a01e6 | 2THAgainstDazeShakenEnchant | Armor | Cost: 0 | Pure: False
45174ce9567d1d64bacaf5abf18c2846 | 2THAgainstDeathEnchant | Armor | Cost: 0 | Pure: False
ff34bced1c8250044b3ca638958291ba | 2THEvocation2DCTransmEnchant | Armor | Cost: 0 | Pure: False
e3c024b4749360e46869cebcabb5d893 | 3ACAgainstGiantPlus2Enchant | Armor | Cost: 0 | Pure: False
30c370f2385b56045814e2f37b34cc96 | 3AgainstPoisonEnchant | Armor | Cost: 0 | Pure: False
503f5fa02f6a1ac42867d838b671570a | 3THAgainstBlindnessEnchant | Armor | Cost: 0 | Pure: False
ab2703dbb2c7b5a4d8d70ade1f36aa7e | 4ACagainstVerminEnchant | Armor | Cost: 0 | Pure: False
1b593e426f557a449877b52c17efe500 | 4STagainstEvocationEnchant | Armor | Cost: 0 | Pure: False
b8549618404bfd648ac38e6d9f4927f4 | AcerbicRingEnchant | Armor | Cost: 0 | Pure: False
dd0e096412423d646929d9b945fd6d4c | AcidResistance10Enchant | Armor | Cost: 0 | Pure: False
09e0be00530efec4693a913d6a7efe23 | AcidResistance15Enchant | Armor | Cost: 0 | Pure: False
1346633e0ff138148a9a925e330314b5 | AcidResistance20Enchant | Armor | Cost: 0 | Pure: False
e6fa2f59c7f1bb14ebfc429f17d0a4c6 | AcidResistance30Enchant | Armor | Cost: 0 | Pure: False
933456ff83c454146a8bf434e39b1f93 | AdamantineArmorHeavyEnchant | Armor | Cost: 0 | Pure: False
5faa3aaee432ac444b101de2b7b0faf7 | AdamantineArmorLightEnchant | Armor | Cost: 0 | Pure: False
aa25531ab5bb58941945662aa47b73e7 | AdamantineArmorMediumEnchant | Armor | Cost: 0 | Pure: False
5ac1350dbddabd745baad8170d4e9c05 | AlchemistsClothEnchantment | Armor | Cost: 0 | Pure: False
