Name,Description,PointCost,PriceFactor,PriceOverride,isEpic,Categories,internType,Slots,Source,GUID
2DCagainstNecroticPlus2Enchant,,+1,1000,,,,Armor,,Owlcat+,0bc09adac665a7647b39ca76b897ddd5
2THAgainstDazeShakenEnchant,,+1,1000,,,,Armor,,Owlcat+,7cf65734cac608743a09730ead2a01e6
2THAgainstDeathEnchant,,+1,1000,,,,Armor,,Owlcat+,45174ce9567d1d64bacaf5abf18c2846
2THEvocation2DCTransmEnchant,,+1,1000,,,,Armor,,Owlcat+,ff34bced1c8250044b3ca638958291ba
3ACAgainstGiantPlus2Enchant,,+3,1250,,,,Armor,,Owlcat+,e3c024b4749360e46869cebcabb5d893
3AgainstPoisonEnchant,,+1,1000,,,,Armor,,Owlcat+,30c370f2385b56045814e2f37b34cc96
3THAgainstBlindnessEnchant,,+1,1000,,,,Armor,,Owlcat+,503f5fa02f6a1ac42867d838b671570a
4ACagainstVerminEnchant,,+4,1250,,,,Armor,,Owlcat+,ab2703dbb2c7b5a4d8d70ade1f36aa7e
4STagainstEvocationEnchant,,+4,1250,,,,Armor,,Owlcat+,1b593e426f557a449877b52c17efe500
AbruptEndEnchantment,,+1,2000,,,,Weapon,,Owlcat+,66f1ac1f205e99f4e83c9b3aa8f0b0b1
AbruptForceEnchantment,,+1,2000,,,,Weapon,,Owlcat+,c31b3edcf2088a64e80133ebbd6374cb
AbyssWalkersEnchantment,,+1,,,,,Other,,Owlcat+,502459ea2f9390745864dbd27ef6677a
AcerbicRingEnchant,,+2,1000,,,,Armor,,Owlcat+,b8549618404bfd648ac38e6d9f4927f4
AcidResistance10Enchant,Provides 10 points of resistance against acid damage.,0,,18000,,,Armor,Armor,TTRPG,dd0e096412423d646929d9b945fd6d4c
AcidResistance15Enchant,Provides 15 points of resistance against acid damage.,0,,30000,,,Armor,Armor,Owlcat,09e0be00530efec4693a913d6a7efe23
AcidResistance20Enchant,Provides 20 points of resistance against acid damage.,0,,42000,,,Armor,Armor,TTRPG,1346633e0ff138148a9a925e330314b5
AcidResistance30Enchant,Provides 30 points of resistance against acid damage.,0,,66000,,,Armor,Armor,TTRPG,e6fa2f59c7f1bb14ebfc429f17d0a4c6
AcrobatsFootwearEnchantment,,+1,,,,,Other,,Owlcat+,0896a269456ca794b8750f4d96e1d0bb
