Category|Ability|ActivatableAbility|AlwaysPrimary|AssetGuid|AssetGuidThreadSafe|AttackBonusStat|AttackRange|AttackType|BaseDamage|CanChangeVisual|CasterLevel|Category|Charges|Comment|ComponentsArray|Cost|CountAsDouble|CR|CriticalModifier|CriticalRollEdge|Damage|DamageType|DC|DefaultNonIdentifiedDescription|DefaultNonIdentifiedName|Description|Destructible|Double|ElementsArray|Enchantments|EquipmentEntity|EquipmentEntityAlternatives|Errors|FighterGroup|FlavorText|ForcedRampColorPresetIndex|ForceStackable|GainAbility|HasErrors|HasNoDamage|HideAbilityInfo|Icon|IdentifyDC|InventoryEquipSound|InventoryPutSound|InventoryTakeSound|IsDamageDiceOverridden|IsJunk|IsLight|IsMagic|IsMasterwork|IsMelee|IsMonk|IsNatural|IsNonRemovable|IsNotable|IsOnlyMasterwork|IsRanged|IsTwoHanded|IsUnarmed|ItemType|KeepInPolymorph|m_AllElements|m_AlwaysPrimary|m_CanChangeVisual|m_DamageDice|m_DamageType|m_Enchantments|m_IsCanChangeVisualOverriden|m_OverrideDamageDice|m_OverrideDamageType|m_OverrideDestructible|m_OverrideShardItem|m_SecondWeapon|m_Size|m_Type|m_VisualParameters|m_Weight|MiscellaneousType|name|Name|NameForAcronym|NeedSkinningForCollect|NonIdentifiedDescription|NonIdentifiedName|PrototypeLink|RestoreChargesOnRest|SecondWeapon|SellPrice|ShardItem|ShowDestructibleField|Size|SpellLevel|SpendCharges|SubtypeDescription|SubtypeName|TrashLootTypes|Type|UseShardItem|UseWhileCanComponents|VisualParameters|Weight
Weapon|null|null|False|c83ff52bb6f90c3469660e0da575c9f8|c83ff52bb6f90c3469660e0da575c9f8|Strength|2 pieds.|Melee|1d6|True|1|Rapier|1||[]|10|False|0|X2|18|1d6|Piercing damage|11||Rapière||True|False|[]|[]|null|[]|[]|BladesLight||0|False|False|False|False|False|RapierArmyMithral_LB_3 (UnityEngine.Sprite)|0|SwordEquip|SwordPut|SwordTake|False|False|False|False|False|True|False|False|False|False|False|False|False|False|Weapon|False|[]|False|False|0|Slashing damage|[]|False|False|False|False|False||Medium|2ece38f30500f454b8569136221e55b0|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|0|None|Rapier|Rapière|Rapier|False||Rapière|null|False|null|2|[BlueprintItem: MetalShardItem]|False|Medium|1|True||Rapière|[]|Rapier|False|[]|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|2
Weapon|null|null|False|98f7953b0eb649cd804521c26a0bb275|98f7953b0eb649cd804521c26a0bb275|Strength|2 pieds.|Melee|1d4|True|1|Shortspear|1||[]|1|False|0|X2|20|1d4|Piercing damage|11||[unknown key: 7b28ae65-7d85-4172-be20-e7ac519cd63f]||True|False|[]|[]|null|[]|[]|Spears, Thrown||0|False|False|False|False|False|SpearShortCommon_RB_3 (UnityEngine.Sprite)|0|SwordEquip|SpearPut|SpearTake|False|False|False|False|False|True|False|False|False|False|False|False|False|False|Weapon|False|[]|False|False|0|Slashing damage|[]|False|False|False|False|False||Medium|084ba092852f40e78e2cbee85c022a47|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|0|None|Theatre_Shortspear|[unknown key: 7b28ae65-7d85-4172-be20-e7ac519cd63f]|Theatre_Shortspear|False||[unknown key: 7b28ae65-7d85-4172-be20-e7ac519cd63f]|null|False|null|0|[BlueprintItem: MetalShardItem]|False|Medium|1|True||[unknown key: 57440af8-06a6-449d-9227-c2473b6fb984]|[Equipment]|Shortspear_Props|False|[]|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|3
Weapon|null|null|False|9c46d77430705854d9698048e015813f|9c46d77430705854d9698048e015813f|Dexterity|50 pieds.|Ranged|1d8|True|1|Longbow|1||[]|10|False|0|X3|20|1d8|Piercing damage|11||Arc long||True|False|[]|[]|null|[]|[]|Bows||0|False|False|False|False|False|TH_LongbowArmy_LT_6 (UnityEngine.Sprite)|0|BowEquip|BowPut|BowTake|False|False|False|False|False|False|False|False|False|False|False|True|True|False|Weapon|False|[]|False|False|0|Slashing damage|[]|False|False|False|False|False||Medium|7a1211c05ec2c46428f41e3c0db9423f|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|0|None|LongbowMedium|Arc long|LongbowMedium|False||Arc long|null|False|null|2|[BlueprintItem: WoodShardItem]|False|Medium|1|True||Arc long|[]|Longbow|False|[]|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|3
Weapon|null|null|False|8455cef74ea13d340949eaefb240ed22|8455cef74ea13d340949eaefb240ed22|Strength|2 pieds.|Melee|1d8|True|1|Longsword|1||[]|75|False|0|X2|19|1d8|Slashing damage|11||Épée longue||True|False|[]|[]|null|[]|[]|BladesHeavy||0|False|False|False|False|False|LongswordKnightMasterwork_LB_3 (UnityEngine.Sprite)|0|SwordEquip|SwordPut|SwordTake|False|False|False|False|False|True|False|False|False|False|False|False|False|False|Weapon|False|[]|False|False|0|Slashing damage|[]|False|False|False|False|False||Medium|d56c44bc9eb10204c8b386a02c7eed21|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|0|None|ElvenFemaleWeaponsmithMasterpieceItem|Épée longue|ElvenFemaleWeaponsmithMasterpieceItem|False||Épée longue|null|False|null|18|[BlueprintItem: MetalShardItem]|False|Medium|1|True||Épée longue|[]|Longsword|False|[]|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|4
Weapon|null|null|False|e79e330af91160849b412883bc1824c7|e79e330af91160849b412883bc1824c7|Dexterity|50 pieds.|Ranged|1d8|True|1|Longbow|1||[]|75|False|0|X3|20|1d8|Piercing damage|11||Arc long||True|False|[]|[]|null|[]|[]|Bows||0|False|False|False|False|False|TH_LongbowArmy_LT_6 (UnityEngine.Sprite)|0|BowEquip|BowPut|BowTake|False|False|False|False|False|False|False|False|False|False|False|True|True|False|Weapon|False|[]|False|False|0|Slashing damage|[]|False|False|False|False|False||Medium|7a1211c05ec2c46428f41e3c0db9423f|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|0|None|ElvenMaleWoodmasterMasterpieceItem|Arc long|ElvenMaleWoodmasterMasterpieceItem|False||Arc long|null|False|null|18|[BlueprintItem: WoodShardItem]|False|Medium|1|True||Arc long|[]|Longbow|False|[]|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|3
Weapon|null|null|False|d7604d63d0ee6db418d09c9305d60560|d7604d63d0ee6db418d09c9305d60560|Strength|2 pieds.|Melee|1d8|True|1|Warhammer|1||[]|75|False|0|X3|20|1d8|Bludgeoning damage|11||Marteau de guerre||True|False|[]|[]|null|[]|[]|Hammers||0|False|False|False|False|False|WarhammerArmy_RT_4 (UnityEngine.Sprite)|0|SwordEquip|SpearPut|SpearTake|False|False|False|False|False|True|False|False|False|False|False|False|False|False|Weapon|False|[]|False|False|0|Slashing damage|[]|False|False|False|False|False||Medium|fac41e149f49cba4a8e06ce39b41a6fa|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|0|None|HalfOrcMaleEnforcerMasterpieceItem|Marteau de guerre|HalfOrcMaleEnforcerMasterpieceItem|False||Marteau de guerre|null|False|null|18|[BlueprintItem: MetalShardItem]|False|Medium|1|True||Marteau de guerre|[]|Warhammer|False|[]|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|5
Weapon|null|null|False|46e685e26290d2c468d96439198e6896|46e685e26290d2c468d96439198e6896|Strength|2 pieds.|Melee|1d6|True|1|Kama|1||[]|4|False|0|X2|20|1d6|Slashing damage|11||Kama||True|False|[]|[]|null|[]|[]|BladesLight, Monk||0|False|False|False|False|False|KamaCommon_RT_4 (UnityEngine.Sprite)|0|SwordEquip|AxePut|AxeTake|False|False|True|False|False|True|True|False|False|False|False|False|False|False|Weapon|False|[]|False|False|0|Slashing damage|[]|False|False|False|False|False||Medium|f5872eb0deb3a1b48a36549f8d92c19e|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|0|None|StandardKama|Kama|StandardKama|False||Kama|null|False|null|1|[BlueprintItem: MetalShardItem]|False|Medium|1|True||Kama|[Equipment]|Kama|False|[]|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|2
Weapon|null|null|False|c0ce1d36d1d3ae246a7587bb17296f07|c0ce1d36d1d3ae246a7587bb17296f07|Strength|2 pieds.|Melee|1d6|True|1|Nunchaku|1||[]|4|False|0|X2|20|1d6|Bludgeoning damage|11||Nunchaku||True|False|[]|[]|null|[]|[]|Flails, Monk||0|False|False|False|False|False|OH_NunchakuMonkMasterwork_Masterwork_LT_6 (UnityEngine.Sprite)|0|FlailEquip|FlailPut|FlailTake|False|False|True|False|False|True|True|False|False|False|False|False|False|False|Weapon|False|[]|False|False|0|Slashing damage|[]|False|False|False|False|False||Medium|4703b4c0922142f4cbe8895c10a47a9f|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|0|None|StandardNunchaku|Nunchaku|StandardNunchaku|False||Nunchaku|null|False|null|1|[BlueprintItem: MetalShardItem]|False|Medium|1|True||Nunchaku|[Equipment]|Nunchaku|False|[]|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|2
Weapon|null|null|False|d60d0d4c78570ef408a0402f9d4313a6|d60d0d4c78570ef408a0402f9d4313a6|Strength|2 pieds.|Melee|1d4|True|1|Sai|1||[]|4|False|0|X2|20|1d4|Bludgeoning damage|11||Sai||True|False|[]|[]|null|[]|[]|Monk||0|False|False|False|False|False|SaiThievesMasterwork (UnityEngine.Sprite)|0|SwordEquip|DaggerPut|DaggerTake|False|False|True|False|False|True|True|False|False|False|False|False|False|False|Weapon|False|[]|False|False|0|Slashing damage|[]|False|False|False|False|False||Medium|0944f411666c7594aa1398a7476ecf7d|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|0|None|StandardSai|Sai|StandardSai|False||Sai|null|False|null|1|[BlueprintItem: MetalShardItem]|False|Medium|1|True||Sai|[Equipment]|Sai|False|[]|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|1
Weapon|null|null|False|07531989333442348b7d0102b24af236|07531989333442348b7d0102b24af236|Strength|2 pieds.|Melee|1d10|True|1|BastardSword|1||[]|36|False|0|X2|19|1d10|Slashing damage|11||Épée bâtarde||True|False|[]|[]|null|[]|[]|BladesHeavy||0|False|False|False|False|False|SwordBastardArmy (UnityEngine.Sprite)|0|SwordEquip|SwordPut|SwordTake|False|False|False|False|False|True|False|False|False|False|False|False|False|False|Weapon|False|[]|False|False|0|Slashing damage|[]|False|False|False|False|False||Medium|d2fe2c5516b56f04da1d5ea51ae3ddfe|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|0|None|StandardBastardSword|Épée bâtarde|StandardBastardSword|False||Épée bâtarde|null|False|null|9|[BlueprintItem: MetalShardItem]|False|Medium|1|True||Épée bâtarde|[Equipment]|BastardSword|False|[]|Kingmaker.Blueprints.Items.Weapons.WeaponVisualParameters|6
